avgMonthlyIncome,incomeCV,expenseRatio,emiRatio,avgMonthlyBalance,bounceCount,accountAgeMonths,PD,anomaly_score,prob_high,prob_medium,prob_low,MLSignalBasedCreditScore
315210.9,0.05,0.314,0.121,67185.96,0,100,0.003443676170445,0.1465823263942506,0.0,0.0004577181472985,0.9995422818527016,469
483386.74,0.038,0.292,0.125,210459.98,0,113,0.0078198170015516,0.1130374936263632,0.0002679088316689,0.0,0.999732091168331,442
488210.14,0.039,0.386,0.197,520559.06,1,105,0.0593205980485205,0.0410572847905698,0.0108681195328787,0.0123432729048089,0.9767886075623116,470
350279.88,0.04,0.408,0.129,365002.37,0,108,0.0156053696449617,0.1248311136322488,0.0,0.0001260563622988,0.9998739436377012,513
449978.33,0.045,0.343,0.189,201947.71,0,90,0.0116090777663058,0.1448759630698947,0.0,0.0,1.0,460
372162.82,0.036,0.309,0.174,120414.1,0,111,0.0087036313325088,0.1480892288396335,0.0,0.0,1.0,480
336135.02,0.046,0.433,0.215,107466.63,0,78,0.0186468055686925,0.1738875851982666,0.0,0.0,1.0,498
310274.76,0.047,0.402,0.168,168219.83,0,100,0.0139984888244746,0.1801733067863546,0.0,0.0,1.0,506
290637.54,0.027,0.348,0.172,308230.19,0,120,0.0121526281120385,0.1425446699289482,0.0,0.0,1.0,440
460147.0,0.027,0.274,0.186,418394.72,0,96,0.0062312093838103,0.0883379876202997,0.0002423935736019,0.0,0.9997576064263982,490
288639.3,0.035,0.314,0.167,187126.78,0,109,0.0058310730669432,0.1591038564150017,0.0,0.0,1.0,496
514838.34,0.036,0.349,0.162,442364.44,0,106,0.0195853410348468,0.0929384916373515,0.0,0.0002629519363899,0.99973704806361,520
452262.27,0.025,0.45,0.12,370756.36,0,90,0.0221293280972854,0.1025097227899592,0.000904822520705,0.0005793211778019,0.9985158563014932,464
407680.62,0.033,0.361,0.212,371474.38,0,77,0.0103859485163468,0.1276400760709378,0.0,0.000228960589724,0.9997710394102758,493
509474.61,0.047,0.3,0.119,464001.86,0,81,0.0038884508302826,0.0741020691294878,0.0004837108112147,0.0,0.9995162891887852,495
397327.2,0.025,0.286,0.173,435937.34,0,120,0.0093085488602032,0.099457842029928,0.0002655637242369,0.0,0.999734436275763,501
475216.81,0.037,0.356,0.2,225841.8,1,103,0.0393806932250903,0.0961965162226798,0.0047072571065168,0.0058374643390109,0.9894552785544716,458
334811.43,0.05,0.342,0.096,155373.03,0,75,0.0021434154926742,0.1523297444503004,0.0,0.0,1.0,473
310334.61,0.035,0.374,0.177,313378.62,0,107,0.0131783222861051,0.1485315892641567,0.0,0.0,1.0,491
386386.87,0.041,0.328,0.021,368848.46,0,118,0.0036891616097761,0.0797280507400062,0.0006550572393577,0.0034327127506041,0.9959122300100384,441
311632.76,0.046,0.337,0.193,295649.21,0,92,0.0066809101107913,0.1494934432394981,0.0,0.0,1.0,510
321862.65,0.024,0.31,0.149,276482.0,0,98,0.004084403931051,0.1373886438786677,0.0,0.0,1.0,481
296303.69,0.023,0.32,0.109,215880.46,0,77,0.001669787112832,0.1393160344319787,0.0,0.0,1.0,463
296962.82,0.028,0.382,0.204,194759.9,0,105,0.0163525352621092,0.1734403239589797,0.0,0.0,1.0,507
428610.5,0.027,0.386,0.098,214554.38,0,104,0.011535012609896,0.1326426006619179,0.0,0.0,1.0,499
421538.38,0.039,0.36,0.126,373574.77,0,116,0.0144856291374841,0.1170558843774441,0.0001360845734361,0.0,0.9998639154265638,489
406779.23,0.036,0.366,0.096,268581.5,0,112,0.0101618827591902,0.1317808756101313,0.0,0.000228960589724,0.9997710394102758,455
330729.62,0.042,0.33,0.17,315821.85,0,82,0.0041929714249792,0.1395633359281067,0.0,0.0,1.0,518
508543.12,0.047,0.269,0.149,103058.48,0,114,0.0083994915578028,0.0997083956025063,0.000652189847577,0.0002399982803932,0.99910781187203,478
422779.45,0.03,0.347,0.193,137837.64,0,77,0.0079840565429776,0.144525459051093,0.0,0.0,1.0,463
285808.12,0.036,0.372,0.248,148551.07,0,98,0.0168963261574022,0.175022562790226,0.0,0.0,1.0,483
297676.69,0.022,0.268,0.13,278042.0,0,92,0.0016402166034706,0.1120659500171346,7.057563280885051e-05,0.0,0.9999294243671912,481
285634.38,0.024,0.398,0.1,279576.82,0,115,0.0099951515921941,0.1380941373410957,8.243722584395755e-05,0.0,0.999917562774156,466
318777.07,0.022,0.344,0.098,163768.81,0,78,0.0022617445676609,0.1505031740035446,0.0,0.0,1.0,483
486485.96,0.045,0.446,0.077,639332.39,0,83,0.0140229598129041,0.0246926059945838,0.1150588922764598,0.0002482131336898,0.8846928945898503,403
488219.59,0.033,0.347,0.153,220490.1,0,76,0.0072145916824626,0.1343400166429778,0.0,0.0,1.0,465
348895.16,0.032,0.478,0.059,282346.52,0,96,0.01388366166393,0.1205355754596005,0.0,0.0028647118204721,0.997135288179528,468
501077.45,0.041,0.379,0.204,204076.24,1,86,0.0378060857274434,0.0960574071354298,0.0069903247623765,0.0056235058862015,0.9873861693514214,512
514361.53,0.036,0.274,0.173,474018.15,0,108,0.0095670952633619,0.0672885221717279,0.0004223020910544,0.0003284294260995,0.9992492684828462,476
478749.28,0.039,0.352,0.145,358708.14,0,118,0.0207007450938784,0.1187432762066505,0.0001399649700802,0.0,0.9998600350299196,458
418885.43,0.042,0.376,0.17,158763.09,0,111,0.0219825620571611,0.1556933248181402,0.0,0.0,1.0,532
295418.89,0.021,0.366,0.121,166054.06,0,104,0.006445227271461,0.1607287947025405,0.0,0.0,1.0,502
489932.86,0.022,0.318,0.182,274653.71,0,103,0.0136014193094325,0.1112771349727047,0.0,0.0,1.0,443
511479.15,0.037,0.368,0.201,108461.86,0,116,0.0430873454889058,0.1259245629529577,0.0011626443392817,0.0003783123277384,0.9984590433329796,488
482121.03,0.026,0.311,0.156,582619.49,0,80,0.0052908171175145,0.0607328183672299,0.0052415537830325,6.547748970959092e-05,0.994692968727258,506
301906.62,0.028,0.347,0.077,213012.66,1,83,0.0036031920480119,0.092143588534918,0.0007774219562603,0.0026219381193022,0.996600639924437,462
297127.21,0.046,0.404,0.199,257456.09,0,80,0.0104650684486496,0.1670998916717163,0.0,0.0,1.0,515
431745.02,0.025,0.367,0.023,219682.74,0,97,0.0040801654990848,0.098210974645986,0.0004257067091607,0.0034327127506041,0.996141580540235,495
354773.66,0.024,0.342,0.194,384336.66,1,119,0.0297531080193031,0.082793015168196,0.00551642019623,0.003482159842092,0.9910014199616778,499
519907.39,0.037,0.362,0.15,439950.74,0,105,0.0203990938169015,0.0894117563528169,0.0003525845915186,0.0002629519363899,0.9993844634720916,515
444568.05,0.042,0.337,0.181,165498.42,1,76,0.011805155232709,0.1048600131765624,0.0018193201923548,0.0037719406649392,0.9944087391427054,459
475176.06,0.023,0.282,0.147,173811.86,0,86,0.003983457218114,0.1131077015361994,0.0001471027049261,0.0,0.999852897295074,499
477963.64,0.042,0.338,0.162,134994.27,0,75,0.0065593216809564,0.1390381617312521,0.0,0.0,1.0,458
420796.12,0.034,0.335,0.165,455445.71,0,112,0.0136307374351007,0.1113750466103438,0.0,0.0,1.0,491
427955.97,0.049,0.394,0.103,313831.7,0,115,0.0175687786654628,0.1215301713305108,8.243722584395755e-05,0.0,0.999917562774156,440
301243.46,0.023,0.371,0.118,98289.09,0,110,0.0079881183020056,0.1615680119765523,0.0,0.0001383140473452,0.9998616859526548,505
311396.44,0.047,0.282,0.147,326718.82,0,93,0.0024317786941258,0.119218658563341,0.0001241318147938,0.0,0.9998758681852062,466
327838.18,0.042,0.246,0.078,285944.86,0,106,0.0013299040642503,0.0882989989714833,0.0009686506967976,0.0,0.9990313493032026,496
396610.61,0.023,0.363,0.16,325232.09,0,98,0.0112896295013152,0.1346103227513572,0.0,0.0,1.0,478
